Date,Daily Tests,Daily Cases,Daily Recoveries,Daily Deaths,Month
2020-02-29,0.0,0.0,0.0,0.0,2020-02
2020-03-31,22763.0,2021.0,82.0,26.0,2020-03
2020-04-30,143163.0,14778.0,4233.0,359.0,2020-04
2020-05-31,365062.0,55638.0,21768.0,1158.0,2020-05
2020-06-30,745419.0,141010.0,74519.0,2852.0,2020-06
2020-07-31,690360.0,65676.0,143633.0,1174.0,2020-07
2020-08-31,645510.0,17003.0,30996.0,0.0,2020-08
